,City,Latitude,Longitude,Max Temp.,Humidity,Cloudiness,Wind Speed,Country,Date
0,winfield,37.2398,-96.9956,18.0,86,90,14.97,US,1612914849
1,new norfolk,-42.7826,147.0587,64.99,52,9,1.99,AU,1612914849
2,bandipur,27.9333,84.4167,46.17,83,79,1.74,NP,1612914849
3,mataura,-46.1927,168.8643,50.13,93,100,9.48,NZ,1612914849
4,bluff,-46.6,168.3333,53.87,92,100,15.48,NZ,1612914849
5,tabou,4.423,-7.3528,78.96,87,86,5.12,CI,1612914850
6,jamestown,42.097,-79.2353,19.99,79,90,4.61,US,1612914576
7,puerto ayora,-0.7393,-90.3518,79.0,89,58,1.01,EC,1612914850
8,wanaka,-44.7,169.15,55.71,60,97,2.21,NZ,1612914850
9,barrow,71.2906,-156.7887,-25.6,68,1,16.11,US,1612914850
10,lavrentiya,65.5833,-171.0,-10.39,79,0,14.94,RU,1612914850
11,tasiilaq,65.6145,-37.6368,14.0,67,90,12.66,GL,1612914850
12,ponta do sol,32.6667,-17.1,57.99,70,69,1.01,PT,1612914850
13,port hawkesbury,45.6169,-61.3485,19.4,68,20,9.22,CA,1612914850
14,vaini,-21.2,-175.2,77.0,100,90,21.85,TO,1612914851
15,rawson,-43.3002,-65.1023,69.03,53,100,24.02,AR,1612914851
16,kaitangata,-46.2817,169.8464,57.0,87,100,4.0,NZ,1612914851
17,kieta,-6.2167,155.6333,84.54,75,57,9.06,PG,1612914851
18,port moresby,-9.4431,147.1797,84.2,74,40,17.27,PG,1612914851
19,kralendijk,12.15,-68.2667,78.8,73,0,12.66,BQ,1612914851
20,punta arenas,-53.15,-70.9167,68.0,56,0,8.05,CL,1612914731
21,nikolskoye,59.7035,30.7861,3.99,84,100,2.24,RU,1612914851
22,rikitea,-23.1203,-134.9692,79.2,69,34,5.35,PF,1612914852
23,albany,42.6001,-73.9662,24.01,75,85,4.18,US,1612914751
24,nushki,29.5542,66.0215,47.61,52,0,0.47,PK,1612914852
25,goure,13.9835,10.2704,68.18,21,0,8.66,NE,1612914852
26,hami,42.8,93.45,33.15,79,54,6.42,CN,1612914852
27,lata,40.1629,-8.3327,57.0,91,87,11.01,PT,1612914852
28,hobart,-42.8794,147.3294,64.99,48,20,5.75,AU,1612914656
29,alofi,-19.0595,-169.9187,84.2,79,75,9.22,NU,1612914853
30,saint-pierre,-21.3393,55.4781,78.8,65,0,2.3,RE,1612914853
31,avarua,-21.2078,-159.775,86.0,70,20,5.75,CK,1612914853
32,krasnogorsk,55.8225,37.3181,8.6,78,75,13.42,RU,1612914709
33,arraial do cabo,-22.9661,-42.0278,74.52,84,66,4.92,BR,1612914681
34,lamar,33.6668,-95.5836,30.2,93,90,12.66,US,1612914853
35,sri aman,1.2376,111.4621,75.2,100,100,0.25,MY,1612914854
36,belyy yar,53.6039,91.3903,5.0,66,0,6.71,RU,1612914854
37,la asuncion,11.0333,-63.8628,75.15,83,27,13.69,VE,1612914854
38,bredasdorp,-34.5322,20.0403,59.0,88,36,2.3,ZA,1612914854
39,ribeira grande,38.5167,-28.7,60.44,86,100,15.75,PT,1612914854
40,vagur,61.4732,-6.8119,37.65,76,45,16.71,FO,1612914854
41,cape town,-33.9258,18.4232,69.01,77,0,17.27,ZA,1612914742
42,adamas,36.7333,24.4333,60.8,82,1,13.8,GR,1612914854
43,rosetta,31.4044,30.4164,60.8,94,40,4.61,EG,1612914855
44,shingu,33.7333,135.9833,42.8,52,20,11.5,JP,1612914855
45,norman wells,65.282,-126.8329,-34.6,67,20,9.22,CA,1612914855
46,flin flon,54.7682,-101.865,-16.6,63,90,5.75,CA,1612914855
47,kadirli,37.3739,36.0961,55.0,77,0,11.99,TR,1612914855
48,constitucion,-35.3333,-72.4167,61.48,87,10,2.89,CL,1612914855
49,vardo,70.3705,31.1107,17.6,86,75,14.97,NO,1612914855
50,pevek,69.7008,170.3133,-4.31,74,0,2.82,RU,1612914855
51,simao,22.7886,100.9748,41.09,94,2,1.9,CN,1612914856
52,hasaki,35.7333,140.8333,41.0,45,75,5.75,JP,1612914856
53,shenjiamen,29.9576,122.298,50.36,82,100,8.9,CN,1612914856
54,kavieng,-2.5744,150.7967,84.13,77,99,9.57,PG,1612914856
55,atuona,-9.8,-139.0333,79.68,72,51,16.89,PF,1612914856
56,faanui,-16.4833,-151.75,82.26,72,0,12.3,PF,1612914856
57,mwinilunga,-11.7358,24.4293,62.83,96,99,5.32,ZM,1612914856
58,busselton,-33.65,115.3333,60.01,84,57,1.99,AU,1612914856
59,yellowknife,62.456,-114.3525,-2.99,77,75,12.66,CA,1612914857
60,mantua,45.1667,10.7833,46.99,95,100,5.99,IT,1612914857
61,port alfred,-33.5906,26.891,68.0,94,18,3.38,ZA,1612914857
62,timra,62.487,17.3257,19.0,86,90,10.36,SE,1612914857
63,harnosand,62.6323,17.9379,19.0,86,90,10.36,SE,1612914857
64,mar del plata,-38.0023,-57.5575,66.2,82,75,13.8,AR,1612914857
65,oksfjord,70.2396,22.3479,21.2,93,90,2.3,NO,1612914857
66,te anau,-45.4167,167.7167,52.83,79,99,5.73,NZ,1612914753
67,yerofey pavlovich,53.9667,121.9667,-2.88,91,15,2.28,RU,1612914858
68,clyde river,70.4692,-68.5914,-0.4,92,20,5.75,CA,1612914858
69,khatanga,71.9667,102.5,-14.1,85,1,7.47,RU,1612914858
70,hermanus,-34.4187,19.2345,65.39,88,9,8.95,ZA,1612914858
71,matara,5.9485,80.5353,72.1,89,76,7.14,LK,1612914858
72,zaraza,9.3503,-65.3245,76.84,61,95,10.29,VE,1612914858
73,saint-philippe,-21.3585,55.7679,78.8,65,0,2.3,RE,1612914858
74,cidreira,-30.1811,-50.2056,74.75,81,3,18.9,BR,1612914256
75,ucluelet,48.9329,-125.5528,43.0,60,20,4.61,CA,1612914648
76,nagina,29.45,78.45,56.79,56,100,1.52,IN,1612914677
77,iralaya,15.0,-83.2333,82.4,74,20,10.33,HN,1612914859
78,gualaquiza,-3.4,-78.55,68.2,88,99,0.11,EC,1612914859
79,guarapari,-20.6667,-40.4975,78.01,94,40,5.53,BR,1612914859
80,harper,4.375,-7.7169,79.34,86,100,4.97,LR,1612914859
81,severodvinsk,64.5635,39.8302,-4.0,84,90,3.4,RU,1612914859
82,porosozero,62.7191,32.727,-5.55,91,0,1.79,RU,1612914859
83,kawalu,-7.3817,108.2082,74.32,88,78,1.16,ID,1612914859
84,chuy,-33.6971,-53.4616,67.14,88,0,5.66,UY,1612914859
85,east london,-33.0153,27.9116,70.86,83,0,1.61,ZA,1612914860
86,kahului,20.8947,-156.47,77.0,50,40,16.11,US,1612914848
87,palmer,42.1584,-72.3287,24.8,86,90,3.8,US,1612914803
88,kodiak,57.79,-152.4072,33.8,86,90,5.91,US,1612914860
89,lorengau,-2.0226,147.2712,84.76,72,100,5.88,PG,1612914860
90,leningradskiy,69.3833,178.4167,-25.6,83,25,11.1,RU,1612914860
91,taoudenni,22.6783,-3.9836,65.17,24,0,9.71,ML,1612914860
92,inta,66.0317,60.1659,-28.07,85,50,6.98,RU,1612914861
93,klaksvik,62.2266,-6.589,28.4,74,95,9.22,FO,1612914861
94,huarmey,-10.0681,-78.1522,72.34,79,20,6.62,PE,1612914861
95,cabo san lucas,22.8909,-109.9124,73.0,60,1,14.97,MX,1612914780
96,ushuaia,-54.8,-68.3,69.8,68,40,2.3,AR,1612914820
97,gold coast,-28.0,153.4333,79.0,69,75,10.36,AU,1612914861
98,mandera,3.9366,41.867,78.48,30,40,10.09,KE,1612914861
99,rondonopolis,-16.4708,-54.6356,78.03,59,35,4.21,BR,1612914861
100,kapaa,22.0752,-159.319,73.4,46,1,14.97,US,1612914862
101,richards bay,-28.783,32.0377,75.27,90,90,2.8,ZA,1612914862
102,buala,-8.145,159.5921,79.74,86,79,12.48,SB,1612914862
103,comodoro rivadavia,-45.8667,-67.5,75.2,53,0,6.91,AR,1612914679
104,castro,-24.7911,-50.0119,60.4,89,93,6.55,BR,1612914862
105,sitka,57.0531,-135.33,17.6,45,1,17.27,US,1612914862
106,port hedland,-20.3167,118.5667,84.2,74,53,10.36,AU,1612914862
107,vestmannaeyjar,63.4427,-20.2734,38.61,75,100,12.35,IS,1612914862
108,saint george,37.1041,-113.5841,62.01,21,20,3.44,US,1612914654
109,qasigiannguit,68.8193,-51.1922,17.6,49,0,4.61,GL,1612914863
110,biltine,14.5333,20.9167,64.0,27,29,11.27,TD,1612914863
111,mangrol,21.1167,70.1167,67.35,51,79,10.65,IN,1612914863
112,cockburn town,21.4612,-71.1419,75.2,83,40,6.91,TC,1612914863
113,mizdah,31.4451,12.9801,53.31,40,1,3.0,LY,1612914863
114,kirakira,-10.4544,161.9205,84.52,74,91,5.7,SB,1612914863
115,churapcha,62.0025,132.4325,-22.95,84,20,3.71,RU,1612914864
116,dingle,10.9995,122.6711,78.12,88,89,3.85,PH,1612914864
117,loei,17.4167,101.5,60.8,100,90,1.48,TH,1612914864
118,egvekinot,66.3167,-179.1667,-12.24,77,44,9.48,RU,1612914864
119,vila velha,-20.3297,-40.2925,78.01,94,40,5.55,BR,1612914864
120,noyabrsk,63.1994,75.4507,-15.2,89,100,11.14,RU,1612914864
121,taltal,-25.4,-70.4833,67.14,73,27,5.03,CL,1612914864
122,nakatsugawa,35.4833,137.5,43.0,66,36,1.83,JP,1612914865
123,pekan,3.4836,103.3996,77.0,88,20,2.3,MY,1612914865
124,butaritari,3.0707,172.7902,81.59,81,79,14.03,KI,1612914865
125,sebinkarahisar,40.2883,38.4236,32.58,93,11,5.7,TR,1612914865
126,falam,22.9167,93.6833,47.14,61,0,1.43,MM,1612914865
127,mecca,21.4267,39.8261,72.28,49,0,1.43,SA,1612914865
128,lakatoro,-16.0999,167.4164,84.56,62,45,2.01,VU,1612914865
129,georgetown,5.4112,100.3354,78.8,88,20,1.14,MY,1612914865
130,shahrud,36.4182,54.9763,43.66,62,60,1.63,IR,1612914866
131,padang,-0.9492,100.3543,75.2,94,20,3.44,ID,1612914866
132,karratha,-20.7377,116.8463,84.7,45,1,19.64,AU,1612914866
133,manokwari,-0.8667,134.0833,80.8,78,100,5.19,ID,1612914866
134,longyearbyen,78.2186,15.6401,17.6,86,75,3.44,SJ,1612914866
135,narsaq,60.9167,-46.05,33.8,29,20,36.82,GL,1612914786
136,thompson,55.7435,-97.8558,-23.8,69,75,4.61,CA,1612914866
137,saskylakh,71.9167,114.0833,-24.48,83,0,9.06,RU,1612914866
138,qaanaaq,77.484,-69.3632,14.31,72,0,2.55,GL,1612914220
139,pisco,-13.7,-76.2167,77.0,69,0,21.85,PE,1612914867
140,junction city,39.0286,-96.8314,15.8,57,90,6.91,US,1612914867
141,rapid valley,44.0625,-103.1463,1.99,65,1,3.94,US,1612914802
142,dikson,73.5069,80.5464,-29.6,86,97,10.2,RU,1612914867
143,carnarvon,-24.8667,113.6333,75.2,94,75,19.57,AU,1612914867
144,pierre,44.3683,-100.351,8.6,47,1,9.22,US,1612914867
145,saldanha,-33.0117,17.9442,66.2,77,0,14.97,ZA,1612914868
146,hofn,64.2539,-15.2082,32.18,98,100,8.79,IS,1612914868
147,bambous virieux,-20.3428,57.7575,77.0,83,40,8.9,MU,1612914868
148,akyab,20.15,92.9,64.02,58,12,7.61,MM,1612914868
149,ngunguru,-35.6167,174.5,72.0,92,100,4.0,NZ,1612914868
150,kedrovyy,56.1667,91.8167,3.2,60,0,6.71,RU,1612914868
151,hualmay,-11.0964,-77.6139,72.27,78,44,6.49,PE,1612914869
152,tautira,-17.7333,-149.15,77.0,83,75,10.36,PF,1612914869
153,yining,29.0361,114.5636,49.98,90,100,3.06,CN,1612914869
154,komarikhinskiy,58.0979,57.1163,-16.6,69,0,8.95,RU,1612914869
155,peniche,39.3558,-9.3811,57.99,83,85,24.0,PT,1612914615
156,nome,64.5011,-165.4064,-0.4,46,1,17.27,US,1612914869
157,polewali,-3.4324,119.3435,81.77,63,71,1.14,ID,1612914869
158,port elizabeth,-33.918,25.5701,66.2,94,0,5.75,ZA,1612914870
159,vershino-darasunskiy,52.35,115.5167,4.28,96,100,4.09,RU,1612914870
160,srednekolymsk,67.45,153.6833,-10.93,88,0,7.31,RU,1612914870
161,taunggyi,20.7833,97.0333,45.61,88,0,1.68,MM,1612914870
162,moree,-29.4667,149.85,78.8,41,40,6.91,AU,1612914870
163,wajir,1.7471,40.0573,76.23,68,35,14.2,KE,1612914870
164,dodge city,37.7528,-100.0171,12.2,85,90,8.05,US,1612914870
165,jalu,29.0331,21.5482,58.05,33,100,6.4,LY,1612914870
166,upernavik,72.7868,-56.1549,9.97,75,11,1.32,GL,1612914871
167,isangel,-19.55,169.2667,86.0,66,40,8.05,VU,1612914871
168,bondo,3.8146,23.6866,65.62,28,73,0.58,CD,1612914871
169,hamilton,39.1834,-84.5333,28.0,79,98,3.0,US,1612914871
170,viedma,-40.8135,-62.9967,68.0,60,34,1.01,AR,1612914871
171,lauterbach,50.6333,9.4,7.0,91,33,5.1,DE,1612914871
172,zimnicea,43.6667,25.3667,50.0,72,99,1.99,RO,1612914871
173,san cristobal,7.7669,-72.225,82.4,65,40,8.05,VE,1612914872
174,zhanaozen,43.3,52.8,38.08,76,100,13.85,KZ,1612914872
175,inirida,3.8653,-67.9239,76.41,92,100,1.74,CO,1612914872
176,newport,51.5877,-2.9984,30.99,82,63,24.34,GB,1612914872
177,tuktoyaktuk,69.4541,-133.0374,-38.2,74,20,8.05,CA,1612914872
178,vysokaya gora,55.9128,49.3017,-2.2,78,0,6.71,RU,1612914872
179,agadez,19.75,10.25,59.61,28,3,2.01,NE,1612914872
180,wuzhou,23.4833,111.3167,54.99,92,100,3.94,CN,1612914872
181,sistranda,63.7256,8.834,21.2,86,20,10.36,NO,1612914873
182,rio verde de mato grosso,-18.9181,-54.8442,76.17,51,75,7.23,BR,1612914873
183,yar,58.249,52.1026,-21.35,86,0,2.08,RU,1612914873
184,homer,59.6425,-151.5483,26.01,74,90,8.05,US,1612914873
185,airai,-8.9266,125.4092,67.93,91,100,2.44,TL,1612914873
186,nikel,69.4128,30.222,15.8,92,75,12.66,RU,1612914873
187,boyolangu,-8.1181,111.8935,77.59,83,84,0.94,ID,1612914873
188,walvis bay,-22.9575,14.5053,68.0,82,56,4.61,NA,1612914873
189,muzhi,65.3667,64.6667,-26.28,79,0,3.29,RU,1612914874
190,puerto ayacucho,5.6639,-67.6236,84.61,53,81,11.59,VE,1612914874
191,grindavik,63.8424,-22.4338,32.0,93,90,6.91,IS,1612914874
